id,name,deptId
768351,name915243,deptId663828
676743,name308726,deptId362712
907206,name436733,deptId877235
613394,name798525,deptId152967
592174,name557524,deptId620762
67409,name266128,deptId663866
917307,name541136,deptId43479
170901,name368254,deptId936250
510181,name695042,deptId699737
85013,name417806,deptId878843
21284,name383458,deptId930972
969490,name230767,deptId317161
854141,name180762,deptId937408
306672,name620106,deptId878884
785767,name855685,deptId423796
981287,name978944,deptId23419
675213,name199673,deptId481797
341105,name55792,deptId159034
340941,name999757,deptId819279
902032,name382117,deptId405192
74455,name447052,deptId538889
47459,name785154,deptId941995
480384,name493688,deptId31224
212089,name933905,deptId735339
252899,name384657,deptId597029
380415,name264974,deptId447999
198331,name828101,deptId688248
645574,name900673,deptId787759
737302,name673858,deptId951956
576339,name398298,deptId992810
364238,name126068,deptId293806
793511,name646544,deptId904580
801229,name792422,deptId479487
736137,name84230,deptId825514
133393,name560933,deptId984725
791273,name45616,deptId927488
890013,name267699,deptId570886
823492,name705221,deptId623309
808875,name449730,deptId346668
131868,name819945,deptId995826
7882,name361981,deptId248488
420951,name682084,deptId256625
932923,name717953,deptId520939
82102,name722565,deptId31788
766002,name79217,deptId71689
474310,name650891,deptId875654
484238,name451790,deptId595325
285706,name368107,deptId682328
203088,name381236,deptId862509
881956,name391584,deptId527489
594575,name539978,deptId561030
22231,name256985,deptId460033
912262,name819382,deptId150469
113453,name970943,deptId111432
997802,name502594,deptId420991
984088,name368154,deptId839132
329564,name880141,deptId736301
760205,name72922,deptId42725
272816,name723260,deptId674315
396002,name598225,deptId703441
380369,name399054,deptId850478
62857,name689105,deptId220383
284313,name925993,deptId728374
47413,name263723,deptId377294
849887,name345599,deptId866817
800483,name434663,deptId497086
272877,name562382,deptId83554
889985,name344961,deptId229512
659024,name775360,deptId759253
228770,name96901,deptId26823
307059,name572045,deptId537044
503370,name146761,deptId232841
638539,name643007,deptId807006
772271,name590260,deptId209588
824159,name357851,deptId75191
328524,name679447,deptId524148
666141,name894679,deptId770878
299481,name774447,deptId520845
887144,name843433,deptId627645
746279,name20254,deptId356911
672698,name148699,deptId396106
321449,name175620,deptId541810
866379,name716467,deptId823426
919495,name639977,deptId243093
453159,name756894,deptId56418
156901,name109715,deptId898206
262755,name323098,deptId486680
769772,name69586,deptId977967
631961,name37030,deptId359752
693552,name694415,deptId623161
963484,name799653,deptId347749
781408,name837083,deptId73432
146371,name434170,deptId731091
761731,name187241,deptId232838
604430,name989339,deptId49393
120829,name349212,deptId806195
762167,name427083,deptId195594
848591,name951444,deptId798892
902767,name176262,deptId876101
206624,name919716,deptId369298
908330,name614410,deptId657235
99320,name250795,deptId823531
129128,name699918,deptId966965
675253,name620709,deptId536110
972130,name476367,deptId523410
839990,name126007,deptId23204
440,name802630,deptId574056
280464,name403141,deptId390708
90921,name313367,deptId911697
588501,name963149,deptId964353
873155,name592499,deptId775278
889223,name659036,deptId468206
778191,name117752,deptId861825
66301,name431673,deptId446341
