crsCode,semester,profId
crsCode75173,semester342513,172455
crsCode782149,semester670060,98179
crsCode617741,semester98975,295089
crsCode298624,semester521503,247920
crsCode49602,semester881370,421759
crsCode44182,semester839639,453115
crsCode166402,semester624475,215891
crsCode804776,semester3655,644716
crsCode139716,semester307924,494623
crsCode942674,semester386431,881815
crsCode306585,semester822078,422990
crsCode939541,semester80039,25415
crsCode459620,semester253815,540150
crsCode466389,semester840257,987899
crsCode853747,semester929050,656316
crsCode502802,semester400624,817882
crsCode390584,semester162808,453726
crsCode589569,semester320569,307239
crsCode544890,semester777446,432877
crsCode602068,semester539078,364745
crsCode396861,semester945987,834047
crsCode134378,semester380948,161445
crsCode204353,semester693415,659429
crsCode91298,semester774625,995295
crsCode891190,semester952877,41253
crsCode806796,semester632572,956652
crsCode803821,semester951090,284777
crsCode576864,semester176265,78308
crsCode676582,semester375117,999660
crsCode288081,semester648678,930402
crsCode75921,semester103509,200911
crsCode314456,semester353270,969863
crsCode761523,semester456306,11589
crsCode528341,semester679108,122661
crsCode565166,semester60572,167750
crsCode970890,semester716683,571524
crsCode869991,semester120,571040
crsCode725946,semester417738,15872
crsCode870097,semester879416,570982
crsCode344645,semester590325,344834
crsCode824269,semester162683,819811
crsCode915002,semester648807,149388
crsCode60181,semester195906,463115
crsCode975762,semester903725,722680
crsCode139310,semester565109,518603
crsCode116770,semester295243,307427
crsCode960501,semester810021,728738
crsCode30429,semester182351,884874
crsCode227209,semester368556,761054
crsCode636860,semester643991,329228
crsCode318322,semester730978,364680
crsCode959297,semester356958,996917
crsCode862347,semester58188,790804
crsCode881823,semester269166,42398
crsCode350487,semester150262,973744
crsCode643675,semester736541,58863
crsCode408919,semester786652,573557
crsCode721474,semester365214,595227
crsCode488564,semester957726,992862
crsCode922720,semester106195,461209
crsCode127619,semester637396,856902
crsCode291539,semester58739,730036
crsCode937090,semester526595,50935
crsCode386223,semester893091,910937
crsCode706865,semester885076,430264
crsCode693716,semester469728,66377
crsCode9893,semester301369,247966
crsCode603933,semester191246,281584
crsCode87567,semester270327,227691
crsCode740716,semester237395,495133
