crsCode245392,deptId35527,crsName988277,descr526335
crsCode59836,deptId13721,crsName737200,descr512862
crsCode452498,deptId982526,crsName195544,descr167742
crsCode723610,deptId861568,crsName986746,descr36807
crsCode398700,deptId564390,crsName468579,descr982581
crsCode932090,deptId812017,crsName989370,descr854127
crsCode605175,deptId301122,crsName277242,descr784952
crsCode883172,deptId768473,crsName155210,descr810622
crsCode135477,deptId734520,crsName835258,descr867920
crsCode459236,deptId766374,crsName468380,descr968749
crsCode86289,deptId607951,crsName382141,descr89655
crsCode892820,deptId323464,crsName802303,descr442951
crsCode43553,deptId48625,crsName817044,descr586778
crsCode716439,deptId604276,crsName627225,descr40
crsCode778341,deptId667305,crsName51404,descr925781
crsCode911897,deptId410140,crsName300204,descr604545
crsCode835719,deptId137638,crsName419116,descr216634
crsCode256594,deptId181943,crsName219603,descr155217
crsCode632538,deptId79478,crsName47347,descr996042
crsCode795394,deptId812863,crsName512579,descr696364
crsCode660508,deptId520779,crsName642204,descr644601
crsCode220788,deptId577326,crsName705100,descr984888
crsCode452598,deptId721785,crsName509018,descr694382
crsCode25724,deptId554559,crsName829272,descr719531
crsCode447736,deptId169461,crsName481886,descr571776
crsCode552955,deptId622579,crsName122024,descr128654
crsCode918687,deptId535191,crsName970510,descr312889
crsCode794455,deptId38920,crsName341084,descr903356
crsCode788177,deptId241688,crsName7373,descr809238
crsCode459269,deptId627395,crsName446633,descr684771
crsCode208029,deptId491348,crsName382072,descr874949
crsCode159361,deptId242343,crsName873954,descr495553
crsCode273662,deptId289929,crsName105700,descr847270
crsCode450770,deptId457595,crsName949809,descr821415
crsCode832086,deptId289174,crsName380899,descr684618
crsCode341640,deptId947912,crsName472732,descr734905
crsCode251381,deptId959740,crsName145022,descr608758
crsCode328319,deptId331352,crsName671490,descr372716
crsCode337744,deptId677728,crsName791609,descr487712
crsCode510364,deptId426808,crsName919581,descr21510
crsCode333452,deptId544070,crsName106771,descr266800
crsCode837388,deptId304694,crsName324224,descr935522
crsCode260018,deptId663639,crsName567109,descr239936
crsCode148233,deptId817635,crsName69976,descr79400
crsCode651706,deptId374363,crsName378432,descr73628
crsCode486038,deptId419665,crsName200557,descr82712
crsCode722435,deptId85055,crsName506161,descr53955
crsCode734720,deptId998037,crsName111135,descr704960
crsCode875158,deptId292944,crsName498495,descr757283
crsCode439453,deptId555654,crsName333674,descr147073
crsCode199976,deptId610686,crsName347336,descr611616
crsCode549774,deptId810107,crsName234980,descr833997
crsCode558422,deptId373658,crsName238121,descr397005
crsCode569598,deptId306641,crsName351740,descr155371
crsCode386344,deptId616663,crsName637621,descr355056
crsCode141410,deptId77667,crsName277947,descr393521
crsCode907408,deptId105996,crsName85626,descr115202
crsCode831544,deptId961039,crsName246084,descr657544
crsCode683882,deptId290671,crsName331649,descr33773
crsCode322314,deptId731319,crsName888596,descr536812
crsCode76155,deptId49627,crsName292813,descr395404
crsCode41578,deptId66941,crsName882692,descr1385
crsCode868916,deptId641547,crsName745304,descr434285
crsCode242229,deptId352005,crsName98948,descr214942
crsCode208494,deptId687452,crsName192987,descr7762
crsCode813842,deptId852214,crsName924640,descr408637
crsCode258093,deptId891150,crsName496068,descr971051
crsCode561330,deptId700217,crsName111740,descr6921
crsCode890911,deptId520259,crsName822334,descr485789
crsCode759887,deptId403960,crsName318489,descr497558
crsCode572188,deptId799358,crsName475567,descr92605
crsCode784238,deptId224927,crsName379216,descr321675
crsCode841317,deptId62245,crsName394419,descr132437
crsCode482399,deptId389662,crsName983059,descr644003
crsCode277350,deptId722559,crsName64996,descr210846
crsCode44985,deptId377573,crsName141936,descr988711
crsCode627445,deptId882039,crsName74259,descr659268
crsCode791072,deptId129894,crsName464591,descr920757
crsCode178579,deptId371286,crsName478797,descr143589
crsCode72065,deptId558167,crsName656369,descr386812
crsCode693991,deptId795980,crsName88856,descr956625
crsCode348306,deptId63084,crsName193265,descr748989
crsCode303560,deptId299751,crsName156405,descr938379
crsCode758164,deptId333024,crsName126596,descr189579
crsCode103218,deptId681881,crsName944221,descr193221
crsCode12626,deptId572269,crsName886522,descr743371
crsCode691596,deptId925942,crsName894662,descr227752
crsCode838241,deptId551502,crsName983676,descr651700
crsCode559018,deptId958067,crsName396765,descr452169
crsCode182176,deptId54276,crsName501773,descr306448
crsCode285831,deptId569448,crsName800779,descr340212
crsCode351799,deptId873870,crsName949708,descr354681
crsCode442760,deptId774222,crsName207282,descr523557
crsCode311513,deptId426734,crsName221998,descr901276
crsCode932477,deptId80194,crsName114735,descr640714
crsCode436100,deptId857515,crsName173829,descr463288
crsCode590945,deptId635263,crsName452759,descr991746
crsCode194941,deptId564361,crsName814845,descr77728
crsCode263575,deptId607207,crsName141051,descr706976
crsCode148502,deptId430290,crsName135387,descr251380
crsCode670381,deptId377403,crsName140262,descr888103
crsCode637097,deptId830672,crsName165438,descr341547
crsCode241498,deptId600413,crsName629723,descr47823
crsCode998939,deptId868944,crsName23200,descr592076
crsCode949760,deptId606613,crsName116697,descr142014
